Company,Date,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1994-12-31,2018-03-30
so-financials,Cash & Equivalents,1070.0,1018.0,1152.0,713.0,748.0,1676.0,2123.0,1053.0,1917.0,2009.0,1724.0,1662.0,1798.0,2078.0,1582.0,1770.0,1065.0,3379.0,1879.0,2164.0,1975.0,2931.0,1383.0,1361.0,1396.0,1847.0,1980.0,2284.0,2130.0,1841.0,1433.0,1094.0,1975.0,2669.0,9860.0,754.0,1404.0,1109.0,813.0,1112.0,710.0,1414.0,583.0,590.0,659.0,682.0,431.0,540.0,635.0,1263.0,851.0,1051.0,1323.0,1525.0,450.0,417.0,515.0,1277.071,298.021,374.604,733.0,673.264,878.381,803.789,520.0,837.026,235.373,281.291,269.0,586.009,264.886,161.489,167.0,418.097,262.9,300.786,202.0,416.339,236.758,381.789,368.0,284.029,191.165,325.491,311.0,582.949,210.639,309.395,273.0,293.025,674.708,296.086,354.0,305.624,200.228,179.756,199.191,834.674,787.923,471.093,154.0,767.621,448.77,554.095,871.353,858.293,687.097,477.26,601.0,620.355,382.795,549.893,445.0,,,,,,
so-financials,Short-TermInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
so-financials,Cash & Cash Equivalents,1070.0,1018.0,1152.0,713.0,748.0,1676.0,2123.0,1053.0,1917.0,2009.0,1724.0,1662.0,1798.0,2078.0,1582.0,1770.0,1065.0,3379.0,1879.0,2164.0,1975.0,2931.0,1383.0,1361.0,1396.0,1847.0,1980.0,2284.0,2130.0,1841.0,1433.0,1094.0,1975.0,2669.0,9860.0,754.0,1404.0,1109.0,813.0,1112.0,710.0,1414.0,583.0,590.0,659.0,682.0,431.0,540.0,635.0,1263.0,851.0,1051.0,1323.0,1525.0,450.0,417.0,515.0,1277.071,298.021,374.604,733.0,673.264,878.381,803.789,520.0,837.026,235.373,281.291,269.0,586.009,264.886,161.489,167.0,418.097,262.9,300.786,202.0,416.339,236.758,381.789,368.0,284.029,191.165,325.491,311.0,582.949,210.639,309.395,273.0,293.025,674.708,296.086,354.0,305.624,200.228,179.756,199.191,834.674,787.923,471.093,154.0,767.621,448.77,554.095,871.353,858.293,687.097,477.26,601.0,620.355,382.795,549.893,445.0,0.0,0.0,0.0,0.0,0.0,
so-financials,Cash Growth,0.43048128342245984,-0.3926014319809069,-0.4573716439001413,-0.32288698955365625,-0.6098069900886802,-0.16575410652065703,0.2314385150812064,-0.3664259927797834,0.0661846496106786,-0.03320500481231958,0.08975979772439957,-0.06101694915254241,0.688262910798122,-0.3850251553714117,-0.15806279936136247,-0.1820702402957486,-0.4607594936708861,0.15284885704537698,0.3586406362979031,0.5900073475385745,0.414756446991404,0.5868976719003789,-0.3015151515151515,-0.40411558669001746,-0.34460093896713617,0.0032590983161324694,0.3817166782972785,1.0877513711151736,0.07848101265822782,-0.3102285500187336,-0.8546653144016227,0.45092838196286467,0.40669515669515666,1.406672678088368,11.127921279212792,-0.32194244604316546,0.9774647887323944,-0.21570014144271565,0.39451114922813035,0.8847457627118644,0.07738998482549309,1.0733137829912023,0.35266821345707666,0.09259259259259256,0.03779527559055129,-0.4600158353127475,-0.4935370152761457,-0.48620361560418646,-0.5200302343159486,-0.17180327868852463,0.8911111111111112,1.5203836930455634,1.5689320388349515,0.19413877536957624,0.5099607074669235,0.1131755133420893,-0.29740791268758526,0.8968354167161767,-0.6607155664796939,-0.5339523183322987,0.4096153846153847,-0.19564744703270864,2.731868141205661,1.8574998844612876,0.9330855018587361,0.42835007653466084,-0.11141774197201815,0.7418585786028771,0.6107784431137724,0.40161015266792166,0.007554203119056746,-0.46310998517218227,-0.1732673267326733,0.004222520590192236,0.1104165434747717,-0.212166929901071,-0.45108695652173914,0.46583271426509265,0.2385007715847567,0.1729633077412278,0.18327974276527326,-0.5127721292943294,-0.09245201505893974,0.05202411157258524,0.13919413919413914,0.9894172852145722,-0.6878071699164676,0.04494977810501011,-0.22881355932203384,-0.04122385676517548,2.369698543660227,0.6471550323772224,0.7771887284064039,-0.6338402777611378,-0.7458787216517351,-0.6184277838982961,0.293448051948052,0.08735170090448285,0.7557390199879672,-0.1497974174103719,-0.8232633616915304,-0.10564224571329373,-0.34686077802697435,0.16099191216527675,0.44983860232945094,0.38355135366040405,0.7949476874044854,-0.13208569667189796,0.35056179775280905,,,,,,,,,,
so-financials,Receivables,3576.0,3728.0,3587.0,3245.0,3267.0,3252.0,3018.0,2916.0,3814.0,3659.0,3885.0,3370.0,3228.0,3337.0,3211.0,3513.0,3335.0,3016.0,2899.0,2923.0,3409.0,3385.0,3304.0,3616.0,3944.0,3623.0,3527.0,3557.0,3877.0,3301.0,3162.0,3069.0,3246.0,3211.0,2116.0,1634.0,1903.0,2275.0,2256.0,1872.0,1947.0,2258.0,2119.0,1806.0,1819.0,2060.0,1966.0,1635.0,1649.0,2014.0,1919.0,1501.0,1849.0,2280.0,2243.0,1808.0,2029.0,2337.989,2196.765,1870.581,2030.0,2287.734,2458.697,2288.029,2295.0,2575.291,2501.934,2223.498,2336.0,2942.939,2469.948,1931.679,2038.0,2539.562,2229.936,2124.802,2299.0,2516.588,1827.738,1820.742,1810.0,1883.025,1751.816,1354.919,1467.0,1607.902,1537.933,1353.727,1507.0,1442.262,1305.382,1053.248,1427.0,1439.469,1245.045,1019.388,1311.457,3896.731,1801.778,1395.144,1043.0,2065.379,1731.996,1519.115,1797.913,2190.389,1999.634,1522.928,2007.0,2064.49,2008.799,1779.456,1440.0,,,,,,
so-financials,Inventory,3369.0,3385.0,3287.0,3268.0,3352.0,3148.0,2963.0,2750.0,2677.0,2681.0,2281.0,2103.0,2355.0,2258.0,2122.0,2195.0,2488.0,2476.0,2381.0,2215.0,2388.0,2324.0,2143.0,2093.0,2394.0,2294.0,2151.0,2230.0,2627.0,2701.0,2562.0,2510.0,2782.0,2559.0,2008.0,1922.0,1929.0,1737.0,1838.0,1905.0,1969.0,1835.0,1901.0,1861.0,2298.0,2308.0,2573.0,2723.0,2819.0,2530.0,2591.0,2483.0,2270.0,1930.0,2067.0,2178.0,2135.0,2031.136,2188.425,2111.74,2241.0,2168.659,2161.459,1944.465,1775.0,1581.52,1582.7,1502.665,1435.0,1433.588,1468.309,1390.704,1323.0,1272.926,1233.133,1157.934,1069.0,1003.224,1061.772,968.026,910.0,872.916,904.113,865.422,886.0,869.865,880.766,840.292,859.0,868.595,911.795,938.13,944.0,859.391,896.1,836.511,702.631,932.241,892.269,907.858,767.0,849.369,918.513,832.654,767.689,699.215,760.528,778.453,711.0,731.438,826.915,800.858,780.0,,,,,,
so-financials,Other Current Assets,2679.0,2909.0,2967.0,3317.0,3065.0,3012.0,2875.0,2836.0,2008.0,2014.0,1891.0,2162.0,1584.0,2001.0,2636.0,1991.0,1729.0,1703.0,1910.0,2128.0,2045.0,1277.0,1522.0,1639.0,1849.0,1620.0,3961.0,1453.0,1438.0,1359.0,1680.0,1754.0,1719.0,1219.0,1165.0,1151.0,1290.0,1149.0,1698.0,1483.0,1238.0,751.0,773.0,883.0,838.0,735.0,1031.0,1034.0,1059.0,889.0,1012.0,1006.0,830.0,760.0,742.0,837.0,1204.0,963.256,841.051,863.206,869.0,752.276,890.833,912.465,768.0,830.864,1048.609,818.546,692.0,473.318,550.965,540.466,491.0,551.953,594.413,628.494,635.0,516.037,459.729,429.591,403.0,332.19,321.393,349.029,396.0,360.242,328.957,418.202,290.0,528.899,452.744,462.712,231.0,668.768,698.204,615.466,611.92,1803.43,653.151,539.891,398.0,-563.691,-386.232,-549.783,-498.502,-435.404,-354.165,-417.659,-431.0,-192.075,-197.58,-384.51,-554.0,,,,,,
so-financials,Total Current Assets,10694.0,11040.0,10993.0,10543.0,10432.0,11088.0,10979.0,9555.0,10416.0,10363.0,9781.0,9297.0,8965.0,9674.0,9551.0,9469.0,8617.0,10574.0,9069.0,9430.0,9817.0,9917.0,8352.0,8709.0,9583.0,9384.0,11619.0,9524.0,10072.0,9202.0,8837.0,8427.0,9722.0,9658.0,15149.0,5461.0,6526.0,6270.0,6605.0,6372.0,5864.0,6258.0,5376.0,5140.0,5614.0,5785.0,6001.0,5932.0,6162.0,6696.0,6373.0,6041.0,6272.0,6495.0,5502.0,5240.0,5883.0,6609.452,5524.262,5220.131,5873.0,5881.933,6389.37,5948.748,5358.0,5824.701,5368.616,4826.0,4732.0,5435.854,4754.108,4024.338,4019.0,4782.538,4320.382,4212.016,4205.0,4452.188,3585.997,3600.148,3491.0,3372.16,3168.487,2894.861,3060.0,3420.958,2958.295,2921.616,2929.0,3132.781,3344.629,2750.176,2956.0,3273.252,3039.577,2651.121,2825.199,7467.076,4135.121,3313.986,2362.0,3118.678,2713.047,2356.081,2938.453,3312.493,3093.094,2360.982,2888.0,3224.208,3020.929,2745.697,2111.0,,,,,,
so-financials,"Property, Plant & Equipment",106075.0,104312.0,103318.0,101870.0,101276.0,99721.0,98248.0,97135.0,96101.0,95089.0,94445.0,93483.0,92809.0,92583.0,91398.0,90858.0,89436.0,88188.0,86805.0,85735.0,84880.0,83531.0,83036.0,83518.0,80797.0,78432.0,77192.0,80947.0,79872.0,79741.0,78686.0,79811.0,78446.0,75554.0,63893.0,62552.0,61114.0,58243.0,57007.0,55475.0,54868.0,53167.0,52764.0,51573.0,51208.0,50200.0,49317.0,48687.0,48390.0,47274.0,46566.0,45855.0,45010.0,43797.0,43279.0,42701.0,42002.0,41199.709,40630.494,39998.396,39230.0,38141.779,37497.946,36767.728,35878.0,35112.097,34562.57,34003.364,33327.0,32585.051,32022.094,31522.683,31092.0,30575.653,29961.456,29641.964,29480.0,29072.818,28895.238,28539.238,28358.0,28058.395,27905.504,27742.964,27525.0,26028.488,25962.817,25691.338,26566.0,24285.514,23955.003,23484.538,23084.0,22774.287,22451.16,22040.099,21622.402,25119.366,24890.913,24693.341,20539.0,25262.105,24893.116,23717.491,23945.099,25087.091,25083.829,25055.306,23652.0,24841.497,24992.798,24580.596,23685.0,,,,,,
so-financials,Long-Term Investments,1416.0,1414.0,1385.0,1395.0,1368.0,1376.0,1382.0,1408.0,1443.0,1292.0,1305.0,1293.0,1282.0,1853.0,1856.0,1930.0,1918.0,2011.0,2010.0,2181.0,2091.0,2339.0,2370.0,2404.0,2378.0,2363.0,2334.0,2323.0,2288.0,2425.0,2414.0,2395.0,2323.0,2310.0,763.0,761.0,761.0,752.0,751.0,749.0,743.0,680.0,675.0,670.0,665.0,658.0,653.0,648.0,670.0,665.0,660.0,654.0,649.0,641.0,635.0,630.0,624.0,620.674,614.83,616.394,610.0,606.165,599.569,906.805,897.0,929.824,923.451,995.4,984.0,976.928,965.54,955.788,1139.0,1122.106,1106.644,1088.984,1082.0,1060.496,1041.834,994.248,976.0,957.539,939.152,853.77,838.0,821.646,806.908,791.19,791.0,699.269,684.762,670.009,655.0,640.567,626.154,610.864,595.952,1825.148,1999.97,1906.454,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
