Company,Date,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31,1994-12-31,2018-03-30
so-financials,Market Capitalization,90196.721698,98707.938163,84817.06343,78269.424207,76474.228752,70580.174593,76600.778435,75766.213004,77742.126647,72284.08976,75768.634574,76877.029823,72681.353588,65615.435694,64057.724596,65678.856466,64884.94563,57263.409157,54751.303615,57075.926063,66804.355099,64563.958773,57507.548065,53466.281939,45188.791001,44216.333219,46848.336152,45024.402466,48264.45566,49114.153736,47621.38973,49334.526795,48206.174421,48304.011925,49246.199333,47221.575051,42529.25202,40606.588918,38056.151445,40289.393323,44189.802483,39097.156939,40425.022603,39016.111282,36248.353846,35987.328958,38410.334398,40772.064283,37420.45714,40319.388337,40220.352834,38935.165911,39898.651888,36338.744052,34287.575555,32226.376369,32062.398944,30935.480007,27440.546865,27203.559462,26663.043115,25210.955534,24380.633531,23810.778414,28659.473357,29028.359186,26791.053586,27231.399982,29429.803539,27443.19155,25779.517271,27435.978163,27377.404804,25579.180867,23782.652502,24306.754293,25603.823766,26705.984425,25805.531964,23644.321361,24794.305525,22130.644704,21497.052717,22432.884474,22149.04395,21381.83216,22489.334642,20422.080729,20255.652798,20395.282057,19302.933963,18545.260551,17621.581877,16540.074621,15926.816719,23929.488544,21641.701746,21054.433913,15119.419566,14128.006277,15817.68785,17591.346156,18472.873366,16285.075347,20261.806373,20543.202413,19310.473854,19225.932241,17860.137691,15463.422579,14915.044099,14322.735154,15339.493447,,,,,,
so-financials,Market Cap Growth,0.17943944214855678,0.39852215912185707,0.1072611161774546,0.033038621091803,-0.016309019957185922,-0.02357247871083934,0.010982695751066807,-0.014449268156659034,0.0696295928621169,0.10163239785680167,0.18281807622513147,0.1704989087743476,0.12015742453508782,0.14585276461799745,0.16997624470169437,0.15072782863836753,-0.02873180148443244,-0.11307468988492408,-0.04792839449326991,0.06751253300385218,0.47833906637426216,0.4601834677972916,0.22752594411071625,0.18749564704106514,-0.06372525323120981,-0.0997231988018551,-0.016233326712701945,-0.087365271524948,0.0012089994632431544,0.016771729277019087,-0.032993604075171934,0.044745473689049575,0.13348277083101157,0.18956093609694724,0.29404044978568633,0.17205971984796875,-0.03757768466240197,0.03860720566856157,-0.05859913007999662,0.03263477571603679,0.2190843940317675,0.08641452619696821,0.05245172260476094,-0.0430675520575039,-0.03132252739764363,-0.10744357882593636,-0.04500254991472663,0.047178388200499244,-0.06211224266314985,0.10954270404347977,0.17302994402399063,0.20817697482281883,0.24440632024093878,0.17466236320811457,0.2495223117704437,0.1846382240535931,0.20250336038958916,0.2270649545702379,0.12550589918466715,0.1424892957722521,-0.06966039526027712,-0.1315060085738874,-0.08997108110222274,-0.12561313668269114,-0.02617517242271661,0.05776178157383449,0.03923798511688581,-0.007456565965484385,0.07496688417669639,0.07287218041468968,0.08396308060390134,0.1287388613172913,0.06927016269949426,-0.042192923506132796,-0.07838937266714818,0.02801657623773668,0.0326493613698422,0.20674226992460953,0.20042185799697232,0.05400272481249879,0.1194300567090616,0.03502097193526943,-0.04412233357703976,0.09846223661943498,0.0934747041175068,0.048371486123252705,0.1650733865177032,0.10120214665297866,0.1494798219243889,0.2330828321116074,0.21197690056748364,-0.22500388936854332,-0.18575802939078168,-0.21441371022626365,0.053401332602452944,0.6937625928830835,0.3681962845157549,0.19686314658863213,-0.18153395703844077,-0.1324568062497402,-0.21933476419565623,-0.14369017048345045,-0.04337544973431595,-0.1529630322803549,0.13447089398477807,0.328502943513848,0.29469773778910224,0.3423366441032496,0.1643238254711059,,,,,,,,,,
so-financials,Enterprise Value,155403.721698,162771.938163,149184.06343,142802.424207,139216.228752,131210.174593,136872.778435,135263.213004,134960.126647,126925.08976,130506.634574,131137.029823,126353.353588,118114.435694,116383.724596,117158.856466,114860.94563,105819.409157,102637.303615,104505.926063,113515.355099,109415.958773,102282.548065,98074.281939,90641.791001,89371.333219,94569.336152,94692.402466,96927.45566,97399.153736,96378.38973,97113.526795,93688.174421,91109.011925,78850.199333,76145.575051,69863.25202,66626.588918,64617.151445,65255.393323,68255.802483,62141.156939,64365.022603,62080.111282,58884.353846,58415.328958,61594.334398,63518.064283,59219.45714,60779.388337,61356.352834,59845.165911,59798.651888,55574.744052,54602.575555,52620.376369,52299.398944,50188.626007,47673.182865,46940.470462,45813.043115,44024.915534,43612.464531,42574.104414,46525.473357,46383.139186,44206.390586,44252.478982,45753.803539,43679.98755,42386.640271,43781.518163,43072.404804,41381.941867,39555.224502,39824.160293,40406.823766,40916.448425,40363.201964,37721.342361,38284.305525,35366.136704,35203.268717,35924.769474,33311.04395,32216.32616,33946.784642,31798.351729,31347.652798,31175.434057,29950.822963,29265.759551,27895.581877,26583.362621,26321.804719,33789.592544,31031.968746,38027.073913,31861.460566,30702.652277,25198.68785,28333.422156,28288.114366,25683.488347,29862.145373,30382.179413,29552.982854,29168.430241,27533.137691,24898.346579,24162.615099,23472.599154,22832.493447,,,,,,
so-financials,PE Ratio,20.495,20.904,18.402,18.442,19.234,23.255,24.83,22.59,22.061,21.285,25.047,33.571,30.372,21.908,20.368,19.403,20.803,18.053,16.914,16.196,14.097,14.106,12.996,15.856,20.3,18.099,19.952,40.164,57.321,90.45,77.686,18.852,19.692,19.153,21.027,20.111,17.968,17.069,17.8,19.004,22.511,18.671,18.144,20.385,22.049,22.311,22.113,19.763,15.924,18.097,18.552,18.118,18.111,17.345,17.178,16.943,16.234,14.94,13.427,13.519,16.228,15.953,15.522,15.784,16.452,16.492,15.382,15.521,16.972,15.974,15.218,16.627,17.405,16.569,15.564,15.89,16.093,16.322,16.558,15.516,16.184,15.229,15.058,14.882,15.026,14.109,15.073,14.676,15.368,16.102,15.75,15.895,13.963,13.141,12.086,17.251,16.483,15.909,11.41,10.892,12.396,15.963,18.421,16.97,20.739,16.784,17.836,18.726,18.375,16.883,14.787,13.248,13.611,,,,,,
so-financials,PS Ratio,3.375,3.735,3.245,3.079,3.028,2.688,2.77,2.603,2.655,2.582,2.93,3.223,3.145,2.921,2.932,3.088,3.185,2.839,2.665,2.715,3.119,2.956,2.613,2.373,1.923,1.859,1.966,1.905,2.096,2.175,2.103,2.276,2.423,2.642,2.827,2.73,2.432,2.264,2.129,2.238,2.393,2.128,2.239,2.188,2.121,2.134,2.273,2.423,2.263,2.439,2.379,2.257,2.26,2.049,1.946,1.862,1.837,1.799,1.657,1.676,1.694,1.572,1.453,1.392,1.673,1.742,1.667,1.743,1.917,1.81,1.732,1.866,1.907,1.765,1.663,1.758,1.889,2.085,2.17,2.007,2.114,1.919,1.887,2.001,2.01,1.927,2.037,1.882,1.927,1.989,1.898,1.836,1.735,1.607,1.543,2.327,2.15,2.593,1.746,1.583,1.698,1.832,1.981,1.724,2.133,1.697,1.518,1.535,1.416,1.31,1.398,1.362,1.481,,,,,,
so-financials,PB Ratio,2.716,2.675,2.349,2.198,2.432,1.999,2.211,2.192,2.557,2.038,2.295,2.356,2.607,1.975,1.956,1.986,2.32,1.762,1.713,1.788,2.429,2.031,1.847,1.742,1.556,1.777,1.982,1.825,1.891,2.039,2.038,1.966,1.811,1.968,2.237,2.271,1.935,1.965,1.886,2.013,2.112,1.969,2.081,2.046,1.834,1.916,2.129,2.26,1.969,2.163,2.219,2.2,2.182,2.061,2.019,1.957,1.896,1.903,1.767,1.79,1.711,1.755,1.769,1.797,2.05,2.166,2.098,2.168,2.376,2.223,2.187,2.389,2.408,2.266,2.193,2.267,2.395,2.469,2.446,2.272,2.412,2.148,2.168,2.294,2.296,2.208,2.44,2.302,2.326,2.339,2.329,2.288,2.207,2.075,2.114,2.265,2.024,2.245,1.695,1.603,1.719,1.847,1.94,1.678,2.068,2.013,1.97,1.973,1.851,1.613,1.597,1.546,1.664,,,,,,
so-financials,P/FCF Ratio,96.05614664323748,285.2830582745665,-169.97407501002004,-65.11599351663894,-50.17994012598425,-46.191213738874346,-26.24213033059267,-27.45152645072464,-54.82519509661495,-38.654593454545456,-108.5510523982808,-96.94455210970996,-47.16505748734588,-79.82413101459854,-75.53976957075471,-115.02426701576182,-78.55320294188861,-40.32634447676056,-41.38420530234316,-34.17720123532934,-34.38206644312918,-41.49354676928021,-36.793056983365325,-31.413796673913044,-44.91927534890656,-43.47722047099312,-90.61573723791102,-114.85816955612245,-62.68111124675325,-41.16861168147527,-27.930433859237535,-22.31321881275441,-19.001251249901458,-26.381218965046422,-93.2693169185606,1430.9568197272727,42.444363293413176,31.57588562830482,41.41039330250272,109.1853477588076,95.64892312337662,44.990974613348676,79.1096332739726,41.683879574786324,71.35502725590551,2768.256073692308,209.89253769398908,111.09554300544958,7484.091428,111.99830093611111,73.79881253944954,55.78103998710602,25.316403482233504,35.66118160157016,45.17467135046113,113.47315622887324,-485.7939233939394,423.489438691837,-107.75365925155108,-52.2219439033099,-31.29465154342723,-48.28963398955712,-26.451379798527743,-45.5045052268271,-75.41966672894736,-97.54742956899275,-682.7485623343528,-750.5484808444959,-717.8000863170731,-2684.981073280501,-81.30364949523302,-164.09175989688933,-1140.7252001666666,-93.10119480174416,101.73439292130794,219.10609985036416,150.61072803529413,51.74966607629718,53.69831753040692,38.848687635756605,36.515913880706925,16.182103468850542,22.382900781218275,24.443243477010178,20.008169783197832,66.60508921451355,39.619637831619485,60.15145526654512,162.045222384,126.68270478586291,-254.17325875645213,224.44824330114008,-75.62910676824035,-49.485919078620626,-72.49446610103917,-100.66122564497336,143.3225281192053,60.07416787835902,43.14681199595911,28.64187590620844,46.797893047337276,39.30842609844007,37.993219801939475,27.01199958698454,19.4078605105364,35.52896423963612,25.912238507513155,27.421390701283215,22.381124926065162,12.228999072351813,10.020022585460497,9.523259813002086,11.091463085321765,,,,,,
so-financials,P/OCF Ratio,9.215030823252963,10.469658269304201,9.803174229079982,9.759279826309227,10.125013736528532,10.046999942064057,13.622759814156144,13.641738027367664,12.336103879244684,11.840145742833743,11.07081159760374,11.792764200490874,11.781707503323068,10.006929341772151,9.48581735465719,9.324085245031233,9.690105380824372,9.356766202124183,8.95360647833197,9.623322553195077,11.555847621345787,10.343473049182954,9.275410978225807,8.651501931877023,6.506665370914327,6.572964652742678,6.778807141079438,6.425631863279578,7.5483978198310915,8.397017222773124,8.666312962693357,10.043674021783387,9.850056072946465,8.81138488234221,7.808181280006342,7.568773048725757,6.778650306024865,6.532591524774775,6.503101750683527,7.162558812977778,7.599278157007738,6.134812009885454,6.499199775401929,6.036842222187839,5.945276996227653,6.835200181956315,7.549200943003145,8.046588569765147,7.639946333197224,7.537743192559357,7.63049759704041,7.114044566234241,6.759046567508046,7.178732527064401,6.905856103726083,7.580893053163962,8.03367550588825,6.982837858695829,6.761444975033172,7.556819279257106,8.1713279543365,7.908942235225175,9.121989608759876,7.154595021093496,8.273520022228638,8.05717760405463,6.921835318987432,7.341501935840783,8.570123336924869,8.298134331291697,8.4502449800737,9.074409543748935,9.708299575886524,10.524969568779257,9.599824212028311,10.055344582399266,10.120088445059288,9.912494302520921,9.964495373295009,9.240495581865051,9.200113367346939,5.128441280594502,5.951214038873123,6.984336137190466,7.212323005535656,14.943082190392659,10.354834935640655,7.93071110454385,7.0997731503680335,7.199873075353511,7.411918689787314,6.850871262319481,7.391603136325504,6.90963690356087,6.529433715256511,10.865512925832322,9.10846033080808,10.173298089272306,7.03595341107926,6.0770898275893215,7.128295561063542,7.884263987447097,9.018574967509863,8.384009729730844,8.74484521924903,8.546968301681751,7.5154494365886375,7.384021652473518,6.80386197752381,5.587792609051666,5.609154270278077,5.551899632915857,6.388793605581008,,,,,,
so-financials,EV/Revenue,5.815137019083969,6.159071369872862,5.708428232570598,5.617940289035761,5.512859016829684,4.997530930984574,4.949653868838824,4.646463982824362,4.609451369479832,4.533200820029287,5.046855430372404,5.498177427487317,5.466765611906719,5.258177255664871,5.3277054060883495,5.508950790708609,5.637347024785276,5.245856095429308,4.995245223876965,4.970555341878716,5.299750459825389,5.009429483243292,4.6479391104698715,4.35208706185933,3.8579183230900194,3.7573082157151267,3.9688323045156957,4.007126336845669,4.208564789197169,4.312941315857061,4.255868132562042,4.480439529181084,4.708894974919581,4.9832637928676915,4.526417872158438,4.401987226904844,3.9946967819772428,3.714270761400379,3.6147433119825463,3.6240915985227145,3.69609587280013,3.381463619687653,3.564941711603434,3.4809976046876754,3.446149344296834,3.464112492320465,3.6457137850251553,3.7740976995246585,3.5810278248775473,3.6769139949788263,3.6286210204033353,3.46948610997739,3.3866824425440334,3.134149788630724,3.098194255276895,3.0397074905551382,2.996070058661778,2.9187838804395243,2.879418920777417,2.891546024801627,2.910058001333926,2.7454902023073138,2.5990162395069385,2.488200853200542,2.7164987071290945,2.7832740264060702,2.7507787925702374,2.831752513575493,2.9801213794698103,2.8804108563032647,2.848213484372961,2.9780491218902894,3.0003068266926722,2.8551907918277206,2.7656959786358453,2.8795009405483496,2.9811733632875903,3.1937171995038223,3.3934438052116,3.2011417758321548,3.2640724294483756,3.0662064025950033,3.089575477946736,3.20491377535645,3.023329456344164,2.9037328181849564,3.074344662604223,2.931057018742961,2.9815153888149135,3.041035513727877,2.9455852705310503,2.897866788823129,2.7469799977351057,2.583401347591361,2.5498269267673463,3.2856740398962847,3.0828500641764354,4.6834682541598385,3.6797048709390556,3.4392877320562545,2.7045924492862508,2.950399000921667,3.034102774667618,2.7190701563507074,3.143714640804295,2.510253825879538,2.323777205519668,2.3294746181815973,2.183263634208231,2.1090650993888813,2.2652281055320804,2.232708781906389,2.204334181019502,,,,,,
so-financials,EV/EBITDA,11.615496053367217,12.0536091649141,11.33789811749506,11.507971972519945,11.694911689516129,12.515278003910721,13.197645206344614,12.84428952654069,12.957001406201996,12.594273641595555,13.720209690285955,15.60783501820995,14.891379326812022,12.719624778591427,12.459450229739856,12.237189937956966,12.413373568572355,11.67726872180534,11.28378447834213,11.222715427727664,9.76980420853774,9.531006861759582,8.806832104787325,9.408507476880276,11.215267384434545,10.826327464445791,11.72444038581701,14.947498416101027,15.701839569091204,16.322968616725323,16.686009302285317,11.693380709813365,12.192630715903176,12.211367366974937,11.265923608086869,11.098320223145315,10.199014893430657,9.933888313403907,10.171124105934204,10.213710020817029,11.1238270017927,9.659747697652728,9.741943787346754,10.158748368843069,10.365138856891392,10.289823667077682,10.491285027763583,10.024947014362374,8.769355418332593,9.3867781215444,9.63359284565866,9.46318246537002,9.35523339924906,8.913351090938251,9.050650680424333,9.083441458484378,9.029592359116021,8.552182094215626,8.30184714040748,8.240439800890218,8.64886598357561,8.488445575896586,8.408667963917845,8.339181051493446,8.791661632086168,8.84485222411621,8.54069848293141,8.691768459152646,9.17093676869112,8.83231746488152,8.735945229587667,9.144955078480336,9.282845862931035,9.123650723662482,8.899654073500757,9.161959316361937,9.32967530962826,9.565203301590715,9.94636681193223,9.56279948876842,9.77138987366003,7.908982137657711,8.363172369171268,8.71669726503831,8.541293320512821,9.761257073325035,9.889482112616767,9.19788325748061,8.89799965881351,8.820296232491566,8.42250717875978,8.214984638812515,7.468696620348059,7.157415110951479,6.8793395656956715,8.580422572243128,7.995869298119041,11.423562260651497,9.051859883291476,8.648753821390773,6.96481145660586,7.772611275371781,7.9961631591726965,7.001596776158984,7.995219644712182,6.572725279358645,6.418063897918998,6.731468769450364,6.490602944601603,6.144235406225091,6.321826490661925,6.048843877222324,5.875577315234174,,,,,,
